,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,0.008994293212890626,0.0046015472910993175,0.005997133255004883,0.002279641906042729,gini,5,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.9340659340659341,0.9560439560439561,0.967032967032967,0.945054945054945,0.9111111111111111,0.9426617826617827,0.01922549300645353,2
29,0.010192632675170898,0.004914411397027988,0.0067004203796386715,0.004216374889763309,gini,5,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.9340659340659341,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9111111111111111,0.9426617826617827,0.0179252959901518,2
30,0.007298135757446289,0.0025635308385180866,0.006796455383300782,0.002785325425762475,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.9340659340659341,0.9560439560439561,0.9560439560439561,0.945054945054945,0.8888888888888888,0.9360195360195359,0.024934746321599668,14
31,0.006996440887451172,0.0026064314177973256,0.006196022033691406,0.0029244079374792565,gini,5,15,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.8777777777777778,0.9294017094017093,0.027067964062009262,24
32,0.02418384552001953,0.03688728572781142,0.008499050140380859,0.006138217820710887,gini,10,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.9230769230769231,0.9230769230769231,0.9010989010989011,0.9340659340659341,0.9333333333333333,0.9229304029304031,0.0119069595041231,32
33,0.011593055725097657,0.002937565436932872,0.004197502136230468,0.00146884760319707,gini,10,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.9340659340659341,0.945054945054945,0.945054945054945,0.9560439560439561,0.9111111111111111,0.9382661782661783,0.01525295915734694,8
34,0.015698957443237304,0.013625113433872977,0.015357065200805663,0.019098332969435604,gini,10,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.9340659340659341,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.9111111111111111,0.9382661782661783,0.016761745376372233,8
35,0.007593011856079102,0.0016252826737652222,0.011097574234008789,0.007044274885456151,gini,10,15,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.945054945054945,0.945054945054945,0.8777777777777778,0.9272039072039071,0.02519696886562836,30
36,0.005898952484130859,0.0013563131099152649,0.0035981655120849608,0.0012000242969059532,gini,15,2,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.9340659340659341,0.9230769230769231,0.9120879120879121,0.945054945054945,0.9333333333333333,0.9295238095238096,0.01115286870856267,23
37,0.009793901443481445,0.0031859940136499277,0.006796598434448242,0.004067436801839299,gini,15,5,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.9340659340659341,0.945054945054945,0.9340659340659341,0.9560439560439561,0.9111111111111111,0.9360683760683761,0.014904139288161328,13
38,0.006217527389526367,0.0013400441865168411,0.00881366729736328,0.009655888744897596,gini,15,10,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 10}",0.9340659340659341,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.9111111111111111,0.9382661782661783,0.016761745376372233,8
39,0.007794237136840821,0.0029236011766558354,0.005196809768676758,0.0029913057327863456,gini,15,15,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.945054945054945,0.945054945054945,0.8777777777777778,0.9272039072039071,0.02519696886562836,30
